title,active,actions_json
FTS - Storage Instructions,True,"[{""field"": ""status"", ""value"": ""solved""}, {""field"": ""current_tags"", ""value"": ""intent_product_questions topic_storage""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nStorage guide:\nKeep product frozen until ready to heat.\nIf product arrives cold, place product in the freezer right away.\nAfter thaw in the fridge, eat within 2 days.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Heating Instructions,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_product_questions topic_heating""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nHow do you want to heat the tamales, microwave or oven?\nReply with your method and support will send steps with timing and temperature.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Change Shipping Address (Pre-Ship),True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_order_change action_update_address""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSupport updates the shipping address before shipment.\nPlease reply with:\n1) Order number\n2) New shipping address\n3) Phone number for delivery updates\nSupport will confirm after update.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Cancel Order (Pre-Ship),True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_order_change action_cancel""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nPlease reply with your order number. Support will check shipment status.\nIf shipment has not started, support will cancel and process a refund to the original payment method.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Order Already Shipped (No Address Change),True,"[{""field"": ""status"", ""value"": ""open""}, {""field"": ""current_tags"", ""value"": ""intent_order_change status_shipped""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nShipment already left the warehouse, so support cannot change the address for this order.\nUse the carrier tools from the tracking link to request a hold or delivery change.\nReply with your order number if help is needed finding the tracking link.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Promo Code Not Working,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_promos issue_promo_code""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nPlease reply with:\n1) Promo code\n2) Screenshot of the error\n3) Items in your cart\nSupport will verify eligibility and help fix the issue.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - First-Time Customer Discount,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_promos topic_first_time_discount""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nPlease reply with:\n1) Email used at checkout\n2) Items in your cart\nSupport will share the correct discount steps for checkout.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Shipping Policy (Timing + No Weekends),True,"[{""field"": ""status"", ""value"": ""solved""}, {""field"": ""current_tags"", ""value"": ""topic_shipping_policy""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nShipping policy:\nProcessing takes 1–2 business days.\nWarehouse does not ship on weekends.\nTracking arrives by email after shipment.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Returns Not Accepted (Food Safety),True,"[{""field"": ""status"", ""value"": ""solved""}, {""field"": ""current_tags"", ""value"": ""topic_returns_policy""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSupport does not accept food returns for safety reasons.\nIf an order arrives damaged, missing items, or arrives thawed, support offers a replacement or refund after review.\nReply with your order number and photos for review.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Friendly Close (Resolved),True,"[{""field"": ""status"", ""value"": ""solved""}, {""field"": ""current_tags"", ""value"": ""status_solved""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSupport marked this request as resolved.\nReply to this message if any remaining issue shows up, and support will reopen the request.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - After Hours Auto-Reply (Business Hours),True,"[{""field"": ""status"", ""value"": ""open""}, {""field"": ""current_tags"", ""value"": ""workflow_after_hours""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nThanks for reaching out. Support received your message outside business hours.\nSupport hours:\nMonday–Friday 8am–8pm MT\nSaturday–Sunday 10am–4pm MT\nReply with your order number to speed up handling.\nThanks,\nFernando’s Tamale Shop Support""}]"
